range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
7, 1.606694811999918e9, 3, -211115.5985620829, -2.408816172724786e6, 6.493308874275764e6, -211171.90993375643, -2.4088512645683615e6, 6.49328355959721e6, 68.95767299822153, 71.01578004625631
7, 1.606694811999918e9, 4, -211115.5985620829, -2.408816172724786e6, 6.493308874275764e6, -211241.22035444964, -2.40877865516199e6, 6.493249935140334e6, 145.63362750268024, 143.74360479999234
8, 1.606694871999918e9, 2, -382229.7159453551, -2.0025710114401772e6, 6.622425066655669e6, -382318.01772484503, -2.0025068397249728e6, 6.622429799609469e6, 109.54785822229222, 109.25938927628503
8, 1.606694871999918e9, 3, -382229.7159453551, -2.0025710114401772e6, 6.622425066655669e6, -382293.5472208356, -2.00261034807506e6, 6.622395920985051e6, 81.60714699772738, 80.44422098029725
8, 1.606694871999918e9, 4, -382229.7159453551, -2.0025710114401772e6, 6.622425066655669e6, -382371.37423939, -2.0025269572688339e6, 6.622355794622127e6, 163.57510206180146, 163.72677518573906
9, 1.606694931999918e9, 2, -548112.338997914, -1.586297211300539e6, 6.723048902761111e6, -548209.7742552989, -1.5862252424277705e6, 6.723053324054773e6, 123.09389227603423, 121.2134310498887
9, 1.606694931999918e9, 3, -548112.338997914, -1.586297211300539e6, 6.723048902761111e6, -548183.4438398624, -1.5863405123996895e6, 6.7230158903666055e6, 91.07465081196527, 89.55837161946043
9, 1.606694931999918e9, 4, -548112.338997914, -1.586297211300539e6, 6.723048902761111e6, -548269.3197026983, -1.5862464093394175e6, 6.722968720534194e6, 182.96808803318436, 183.44745962183177
10, 1.606694991999918e9, 2, -707975.824796348, -1.1618240970218426e6, 6.794755815115761e6, -708081.905589075, -1.1617445471955626e6, 6.794759851845243e6, 132.90139670854248, 132.65596342292312
10, 1.606694991999918e9, 3, -707975.824796348, -1.1618240970218426e6, 6.794755815115761e6, -708053.9154364076, -1.1618710676118522e6, 6.794718870551737e6, 98.636259793193, 98.3325236210393
10, 1.606694991999918e9, 4, -707975.824796348, -1.1618240970218426e6, 6.794755815115761e6, -708147.3192250901, -1.1617664091893772e6, 6.794664105669637e6, 202.16065488032058, 202.85178730409888
11, 1.606695051999918e9, 2, -861074.6821870444, -731021.4825904767, 6.837244618278891e6, -861188.8929426002, -730934.6201685267, 6.837248273128434e6, 143.5014286045181, 143.53583161301708
11, 1.606695051999918e9, 3, -861074.6821870444, -731021.4825904767, 6.837244618278891e6, -861159.4289938434, -731071.8181695468, 6.837203642102079e6, 103.70608952301326, 106.74614208059646
11, 1.606695051999918e9, 4, -861074.6821870444, -731021.4825904767, 6.837244618278891e6, -861259.790002411, -730956.8564224571, 6.837140740070165e6, 222.9655450196775, 221.8831385003187
