range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
9,1.606694931999918e9,2,-548209.9962122956,-1.5862594198360757e6,6.723090905510055e6,-2716.839470729046,7011.4321538008735,1437.181202382265,1,-548220.7736626031,-1.5863368804297303e6,6.723108213488347e6,83.2356060550272,80.09908312209888
9,1.606694931999918e9,2,-548209.9962122956,-1.5862594198360757e6,6.723090905510055e6,-2716.839470729046,7011.4321538008735,1437.181202382265,3,-548326.2722738622,-1.5863417776733516e6,6.723025621042457e6,154.3290593567137,156.73224800170573
9,1.606694931999918e9,2,-548209.9962122956,-1.5862594198360757e6,6.723090905510055e6,-2716.839470729046,7011.4321538008735,1437.181202382265,4,-548322.4404897142,-1.58632367682142e6,6.723102587340031e6,131.1984204447413,130.03515232925622
10,1.606694991999918e9,2,-708082.7105344683,-1.1617824624870676e6,6.79480296895104e6,-2610.1791344754297,7132.603413366379,952.3842790468403,1,-708094.8011751737,-1.161868080375163e6,6.79482338100757e6,90.21118246313674,88.8440116516055
10,1.606694991999918e9,2,-708082.7105344683,-1.1617824624870676e6,6.79480296895104e6,-2610.1791344754297,7132.603413366379,952.3842790468403,3,-708210.3071356713,-1.161871908231668e6,6.794730189911836e6,175.06116690859142,171.98320386927455
10,1.606694991999918e9,2,-708082.7105344683,-1.1617824624870676e6,6.79480296895104e6,-2610.1791344754297,7132.603413366379,952.3842790468403,4,-708206.1603368022,-1.1618530590467837e6,6.794817339561811e6,149.52338319120523,142.93439891773494
11,1.606695051999918e9,2,-861190.3737804118,-730976.2103326534,6.83729735507161e6,-2491.464534143904,7222.318970515996,463.6045959334748,1,-861203.842556936,-731069.6840056537,6.837321231449473e6,94.33340474613317,97.41055848872661
11,1.606695051999918e9,2,-861190.3737804118,-730976.2103326534,6.83729735507161e6,-2491.464534143904,7222.318970515996,463.6045959334748,3,-861328.7482480668,-731072.1727372545,6.837216845009719e6,185.67770788431827,186.64979630660187
11,1.606695051999918e9,2,-861190.3737804118,-730976.2103326534,6.83729735507161e6,-2491.464534143904,7222.318970515996,463.6045959334748,4,-861324.4068070125,-731052.8326675664,6.83731483776579e6,154.76064673507048,155.3752844665224
12,1.606695111999918e9,2,-1.0068330580069359e6,-295742.7746983588,6.850397490445574e6,-2361.4818168411703,7280.1095556276,-27.076411186640442,1,-1.0068479701938131e6,-295843.74023767846,6.850425172723937e6,106.32296165581509,105.74838997801425
12,1.606695111999918e9,2,-1.0068330580069359e6,-295742.7746983588,6.850397490445574e6,-2361.4818168411703,7280.1095556276,-27.076411186640442,3,-1.0069815902065235e6,-295844.6834022381,6.850308931364221e6,200.12516201261354,200.72346432554846
12,1.606695111999918e9,2,-1.0068330580069359e6,-295742.7746983588,6.850397490445574e6,-2361.4818168411703,7280.1095556276,-27.076411186640442,4,-1.006977220348799e6,-295825.061464885,6.850418541645636e6,168.48358758548366,167.3231776558825
13,1.606695171999918e9,2,-1.144359517858191e6,141991.75192923128,6.834051911660247e6,-2221.066957036098,7305.6454391671705,-517.5712070308778,1,-1.1443759364089835e6,141883.71996887916,6.834083710176001e6,111.41014315280269,113.80517945971083
